lat,lon
41.704224,-8.798027
41.704212,-8.798019
41.704201,-8.798011
41.704189,-8.798002
41.704178,-8.797994
41.704166,-8.797986
41.704155,-8.797978
41.704144,-8.797970
41.704132,-8.797961
41.704121,-8.797953
41.704110,-8.797944
41.704099,-8.797936
41.704087,-8.797928
41.704076,-8.797919
41.704065,-8.797911
41.704054,-8.797902
41.704043,-8.797894
41.704031,-8.797885
41.704020,-8.797877
41.704009,-8.797868
41.703997,-8.797860
41.703986,-8.797852
41.703975,-8.797843
41.703964,-8.797835
41.703952,-8.797826
41.703942,-8.797818
41.703933,-8.797811
41.703923,-8.797804
41.703913,-8.797797
41.703903,-8.797790
41.703894,-8.797782
41.703885,-8.797774
41.703875,-8.797767
41.703863,-8.797759
41.703851,-8.797750
41.703840,-8.797741
41.703828,-8.797732
41.703817,-8.797723
41.703805,-8.797714
41.703793,-8.797705
41.703781,-8.797697
41.703769,-8.797687
41.703757,-8.797678
41.703745,-8.797669
41.703734,-8.797660
41.703722,-8.797651
41.703710,-8.797642
41.703699,-8.797633
41.703687,-8.797624
41.703677,-8.797616
41.703666,-8.797608
41.703656,-8.797600
41.703646,-8.797591
41.703636,-8.797583
41.703625,-8.797575
41.703615,-8.797567
41.703604,-8.797559
41.703589,-8.797548
41.703574,-8.797538
41.703559,-8.797527
41.703544,-8.797517
41.703529,-8.797507
41.703514,-8.797496
41.703499,-8.797485
41.703485,-8.797474
41.703479,-8.797468
41.703473,-8.797462
41.703467,-8.797456
41.703460,-8.797450
41.703453,-8.797444
41.703447,-8.797438
41.703441,-8.797432
41.703435,-8.797426
41.703429,-8.797421
41.703422,-8.797416
41.703415,-8.797411
41.703408,-8.797406
41.703401,-8.797401
41.703395,-8.797396
41.703389,-8.797391
41.703382,-8.797386
41.703375,-8.797380
41.703369,-8.797375
41.703362,-8.797369
41.703356,-8.797363
41.703350,-8.797358
41.703344,-8.797352
41.703338,-8.797346
41.703331,-8.797340
41.703324,-8.797335
41.703317,-8.797330
41.703311,-8.797325
41.703304,-8.797319
41.703297,-8.797313
41.703290,-8.797308
41.703283,-8.797303
41.703276,-8.797298
41.703270,-8.797293
41.703264,-8.797287
41.703258,-8.797282
41.703252,-8.797276
41.703246,-8.797270
41.703240,-8.797265
41.703234,-8.797259
41.703228,-8.797254
41.703221,-8.797248
41.703214,-8.797242
41.703207,-8.797237
41.703200,-8.797231
41.703193,-8.797225
41.703186,-8.797219
41.703179,-8.797213
41.703172,-8.797207
41.703165,-8.797201
41.703159,-8.797195
41.703153,-8.797189
41.703146,-8.797183
41.703139,-8.797178
41.703133,-8.797172
41.703126,-8.797166
41.703120,-8.797160
41.703114,-8.797155
41.703107,-8.797150
41.703101,-8.797145
41.703094,-8.797140
41.703087,-8.797135
41.703081,-8.797130
41.703075,-8.797124
41.703069,-8.797119
41.703063,-8.797113
41.703056,-8.797107
41.703049,-8.797101
41.703043,-8.797095
41.703036,-8.797089
41.703030,-8.797083
41.703024,-8.797077
41.703017,-8.797071
41.703009,-8.797065
41.703001,-8.797059
41.702993,-8.797052
41.702985,-8.797046
41.702977,-8.797040
41.702969,-8.797034
41.702961,-8.797028
41.702953,-8.797021
41.702944,-8.797013
41.702935,-8.797004
41.702926,-8.796995
41.702917,-8.796986
41.702908,-8.796977
41.702899,-8.796968
41.702890,-8.796959
41.702881,-8.796950
41.702873,-8.796943
41.702865,-8.796935
41.702857,-8.796927
41.702848,-8.796920
41.702840,-8.796913
41.702832,-8.796905
41.702824,-8.796898
41.702815,-8.796890
41.702808,-8.796883
41.702801,-8.796877
41.702794,-8.796871
41.702788,-8.796864
41.702782,-8.796857
41.702775,-8.796851
41.702768,-8.796845
41.702761,-8.796839
41.702752,-8.796831
41.702742,-8.796822
41.702732,-8.796814
41.702723,-8.796805
41.702713,-8.796796
41.702703,-8.796788
41.702693,-8.796779
41.702684,-8.796770
41.702676,-8.796762
41.702668,-8.796755
41.702660,-8.796747
41.702652,-8.796740
41.702644,-8.796733
41.702636,-8.796725
41.702628,-8.796717
41.702620,-8.796710
41.702613,-8.796703
41.702605,-8.796696
41.702597,-8.796689
41.702589,-8.796682
41.702581,-8.796675
41.702573,-8.796668
41.702566,-8.796661
41.702558,-8.796654
41.702550,-8.796646
41.702542,-8.796637
41.702534,-8.796629
41.702525,-8.796620
41.702517,-8.796612
41.702509,-8.796603
41.702500,-8.796594
41.702492,-8.796586
41.702483,-8.796577
41.702474,-8.796568
41.702465,-8.796560
41.702456,-8.796551
41.702447,-8.796542
41.702438,-8.796533
41.702429,-8.796525
41.702420,-8.796516
41.702412,-8.796508
41.702404,-8.796501
41.702396,-8.796493
41.702388,-8.796485
41.702380,-8.796477
41.702372,-8.796470
41.702364,-8.796463
41.702356,-8.796455
41.702348,-8.796446
41.702340,-8.796437
41.702331,-8.796428
41.702323,-8.796419
41.702314,-8.796410
41.702306,-8.796401
41.702298,-8.796392
41.702289,-8.796383
